"","date","mean_daily_sentiment","total_tweets","total_tweets_incl_retweets"
"164",2018-03-13,0.0129218804199518,3742,4328
"165",2018-03-14,-0.00839714830965226,3271,3877
"166",2018-03-15,-0.00895585719199128,3845,4830
"167",2018-03-16,-0.0044285599120267,4365,5367
"168",2018-03-17,-0.00491260952266385,3584,4275
"169",2018-03-18,0.012072835315455,2795,3356
"170",2018-03-19,0.00875947381402952,3122,4074
"171",2018-03-20,-0.000796471537302372,3812,4417
"172",2018-03-21,0.0169232855033273,3400,4005
"173",2018-03-22,0.00925727193124089,3176,3670
"174",2018-03-23,0.0129301709983541,3213,4132
"175",2018-03-24,0.00954892183547444,2142,2641
"176",2018-03-25,0.00168516936807087,2193,2724
"177",2018-03-26,-0.00280219045057077,2961,3585
"178",2018-03-27,-0.000643265885659246,3219,3998
"179",2018-03-28,0.00186493898671131,3658,4094
"180",2018-03-29,0.00643403954937248,2694,3086
"181",2018-03-30,-0.00759402345420445,2570,2833
"182",2018-03-31,0.000792998774763048,2152,2303
"183",2018-04-01,-0.00102953299374905,2042,4032
"184",2018-04-02,-0.00193423301684746,2429,3548
"185",2018-04-03,0.00907647106941013,2722,3620
"186",2018-04-04,0.0211849279635172,2912,3731
"187",2018-04-05,0.00656789844942026,2620,3096
"188",2018-04-06,0.0237670313490016,2996,3968
"189",2018-04-07,-0.0170166409285006,7896,9941
"190",2018-04-08,-0.00892003842116059,6420,7568
"191",2018-04-09,0.0172876740707721,5959,7338
"192",2018-04-10,0.0183401343287845,4020,4654
"193",2018-04-11,0.0139119673547505,2992,3559
"194",2018-04-12,0.00570457909164324,2938,3431
"195",2018-04-13,0.0183846882982307,3036,3791
"196",2018-04-14,0.0234021128518466,1925,2239
"197",2018-04-15,0.0174484291405949,1794,2085
"198",2018-04-16,0.0556833120563962,2674,3196
"199",2018-04-17,0.051044857676998,3019,3492
"200",2018-04-18,0.0223078259113866,3014,3661
"201",2018-04-19,0.00364484548199816,4106,4845
"202",2018-04-20,-0.0068543918608026,3929,4467
"203",2018-04-21,0.00690058593473896,2753,3040
"204",2018-04-22,-0.00143233046454674,2061,2222
"205",2018-04-23,0.0036149599607502,2671,3018
"206",2018-04-24,0.00105129026713653,3032,3594
"207",2018-04-25,-0.000740298048618184,3381,4007
"208",2018-04-26,-0.0133106787797075,7982,8951
"209",2018-04-27,-0.0045911031892421,5862,6770
"210",2018-04-28,0.00273681059231076,4085,4816
"211",2018-04-29,-0.00624187452598003,3451,3772
"212",2018-04-30,-0.0115008966775266,3474,3673
"213",2018-05-01,0.00431904360519439,3771,7478
"214",2018-05-02,-0.00336505026713425,3176,4716
"215",2018-05-03,0.00548170786702609,3611,4604
"216",2018-05-04,0.0125593400648988,3513,4306
"217",2018-05-05,-0.00750704434507504,2373,2814
"218",2018-05-06,0.00406414385660554,1982,2454
"219",2018-05-07,-0.00132689094644992,2360,2771
